Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2023,16283,07/10/2020,NYSEG,Freeville,Tompkins,13068,Ithaca,NYS-ETNA 709,4300902,Battery,Sungineer Solar,NM,12.5,POINT (-76.350175 42.51216)
12/31/2023,PAM-2021-113873,06/09/2022,PSEGLI,JERICHO,Nassau,11753,,,5B211,Battery,Venture Solar,NM,10,POINT (-73.5354502 40.7839742)
12/31/2023,PAM-2022-175859,09/08/2022,PSEGLI,GLEN COVE,Nassau,11542,,,5GK225,Battery,"Tesla, Inc.",NM,15,POINT (-73.6289601 40.8638193)
12/31/2023,PAM-2021-89472,03/07/2022,PSEGLI,Bridgehampton,Suffolk,11932,,,9R627,Battery,Green Logic,NM,10,POINT (-72.306445 40.9354)
12/31/2023,PAM-2021-92697,04/21/2021,PSEGLI,SYOSSET,Nassau,11791,,,5K144,Battery,tesla,NM,10,POINT (-73.499645 40.823605)
12/31/2023,SDG-50076,12/16/2022,Con Ed,Port Chester,Westchester,10573,CENY-W,Harrison,66U4,Battery,Tesla,NM,5,POINT (-73.665175 41.00778)
12/31/2023,PAM-2021-150800,12/14/2021,PSEGLI,CORAM,Suffolk,11727,,,2H577,Battery,"Tesla, Inc.",NM,5,POINT (-72.9914 40.899685)
12/31/2023,PAM-2020-83142,02/17/2021,PSEGLI,Cold Spring Harbor,Suffolk,11724,,,6Q666,Battery,TESLA,NM,15,POINT (-73.4554723 40.8702985)
12/31/2023,PAM-2021-150374,04/19/2022,PSEGLI,LEVITTOWN,Nassau,11756,,,5RK265,Battery,Hytech Solar Inc.,NM,10,POINT (-73.51867 40.72191)
12/31/2023,15359,10/23/2019,NYSEG,AVERILL PARK,Rensselaer,12018,Mechanicville,NYS-CROOKED LAKE 170,1203901,Battery,Kasselman Solar,NM,5,POINT (-73.5580426 42.6373876)
12/31/2023,PAM-2022-201064,10/17/2022,PSEGLI,NEW HYDE PK,Nassau,11040,,,3KG299,Battery,"Tesla, Inc.",NM,15,POINT (-73.665365 40.74155)
12/31/2023,DGINT-10917,03/03/2022,O&R,NANUET,Rockland,10954,East,Burns,19-12-13,Battery,SolarCity,NM,7.6,POINT (-74.00655 41.09406)
12/31/2023,PAM-2021-133377,12/08/2021,PSEGLI,WANTAGH,Nassau,11793,,,5R165,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-73.50743 40.6701)
12/31/2023,SDG-13781,01/24/2019,Con Ed,Mount Kisco,Westchester,10549,CENY-W,Millwood_West,CROWHL2,Battery,SolarCity,,15,POINT (-73.7266393 41.2068937)
12/31/2023,403364,06/23/2022,National Grid,BOLTON LANDING,Warren,12814,040 - Warrensburg,BOLTON 284,36_40_28452,Battery,Justine Dobert (Apex Solar),NM,11.4,POINT (-73.657325 43.559535)
12/31/2023,SDG-30413,06/04/2021,Con Ed,New Rochelle,Westchester,10805,CENY-W,Cedar_Street,29U2,Battery,SolarCity,NM,10,POINT (-73.777195 40.900985)
12/31/2023,PAM-2020-83427,09/02/2021,PSEGLI,Roslyn,Nassau,11576,,,3LG311,Battery,TESLA,NM,15,POINT (-73.66226 40.798505)
12/31/2023,PAM-2020-81525,01/29/2021,PSEGLI,W HEMPSTEAD,Nassau,11552,,,3MG5L2,Battery,NY State Solar,NM,6.7,POINT (-73.65004 40.70373)
12/31/2023,PAM-2021-108328,07/13/2021,PSEGLI,SMITHTOWN,Suffolk,11787,,,6D634,Battery,SUNation Solar Systems Inc.,NM,15,POINT (-73.199 40.854405)
12/31/2023,CH-14116,04/18/2023,Central Hudson,Saugerties,Ulster,12477,Catskill,North Catskill,2001,Battery,"Kasselman Solar, LLC",NM,7.6,POINT (-73.94911 42.07687)
12/31/2023,PAM-2022-186971,11/29/2022,PSEGLI,PT WASH,Nassau,11050,,,3H155,Battery,"Sunrun, Inc.",NM,10,POINT (-73.69653 40.83192)
12/31/2023,PAM-2020-85406,09/08/2021,PSEGLI,Halesite,Suffolk,11743,,,6B2P9,Battery,TESLA,NM,10,POINT (-73.409338411 40.895614255)
12/31/2023,475921,07/25/2023,National Grid,DARIEN CENTER,Genesee,14040,004-Batavia,DARIEN 16,36_04_1661,Battery,Kelli Wilson (Buffalo Solar Solutions),NM,18,POINT (-78.388995 42.90073)
12/31/2023,CH-15819,03/30/2023,Central Hudson,Millerton,Dutchess,12546,Poughkeepsie,Smithfield,7095,Battery,"Tesla Energy Operations, Inc",NM,30,POINT (-73.5081475 41.9522832)
12/31/2023,14152,02/25/2019,NYSEG,NORTH SALEM,Westchester,10560,Brewster,NYS-GOLDEN BRIDGE 421,1106121,Battery,Solar City Corp DBA Tesla,,10,POINT (-73.577668 41.357391)
12/31/2023,PAM-2021-124659,03/17/2022,PSEGLI,FRANKLIN SQ,Nassau,11010,,,2AB524,Battery,Harvest Power LLC,NM,10,POINT (-73.6755374 40.7087917)
12/31/2023,DGINT-10813,11/04/2021,O&R,THIELLS,Rockland,10984,East,West Haverstraw,27-2-13,Battery,Sunrun Inc,NM,7.6,POINT (-74.0157547 41.2053046)
12/31/2023,SDG-27995,10/02/2022,Con Ed,Astoria,Queens,11106,CENY-Q,Brownsville_2,9B08,Battery,"RDS INDUSTRIES, INC.",NM,18,POINT (-73.93208 40.761965)
12/31/2023,PAM-2022-221308,12/07/2022,PSEGLI,E MARION,Suffolk,11939,,,8J685,Battery,Hytech Solar Inc.,NM,10,POINT (-72.340417 41.1206056)
12/31/2023,SDG-41900,12/15/2022,Con Ed,White Plains,Westchester,10603,CENY-W,Elmsford_No.2,62U2,Battery,Trinity Solar,NM,10,POINT (-73.776322 41.0540848)
12/31/2023,CH-14104,05/05/2022,Central Hudson,New Windsor,Orange,12553,Newburgh,Union Ave,4042,Battery,"Sunrun Installation Services, Inc.",NM,3.8,POINT (-74.0212876 41.4710994)
12/31/2023,PAM-2022-185809,12/07/2022,PSEGLI,ALBERTSON,Nassau,11507,,,3LG313,Battery,"Tesla, Inc.",NM,5,POINT (-73.6494201 40.7707257)
12/31/2023,535471,09/27/2023,National Grid,ALTAMONT,Albany,12009,030-Albany,VOORHEESVILLE 178,36_30_17853,Battery,"Shannon Hartz (Kasselman Solar, LLC)",NM,14.658,POINT (-74.035985 42.705865)
12/31/2023,18818,06/03/2022,NYSEG,BREWSTER,Putnam,10509,Brewster,NYS-HAVILAND HOLLOW 426,1107433,Battery,"Sunrun Installation Services, Inc.",NM,11.6,POINT (-73.6157124 41.3985252)
12/31/2023,SDG-03716,02/21/2018,Con Ed,Scarsdale,Westchester,10583,CENY-W,White_Plains,77U1,Battery,SolarCity,,10,POINT (-73.80484 40.98258)
12/31/2023,481548,05/02/2023,National Grid,LATHAM,Albany,12110,030-Albany,FORTS FERRY 459,36_30_45951,Battery,Mua Sio (Solar City DBA Tesla Energy),NM,7.6,POINT (-73.7582297 42.7457537)
12/31/2023,PAM-2022-193638,12/08/2022,PSEGLI,ISLAND PARK,Nassau,11558,,,2WB592,Battery,"Tesla, Inc.",NM,10,POINT (-73.65433 40.6026884)
12/31/2023,PAM-2020-82623,12/15/2020,PSEGLI,Huntington,Suffolk,11743,,,6UL874,Battery,TESLA,NM,15,POINT (-73.4285012 40.8738497)
12/31/2023,PAM-2019-76913,02/19/2020,PSEGLI,West Babylon,Suffolk,11704,,,7H995,Battery,Sunrun_ Inc.,NM,5,POINT (-73.347675 40.717335)
12/31/2023,PAM-2023-361893,10/26/2023,PSEGLI,VALLEY STRM,Nassau,11581,,,2MA571,Battery,"Sunrun, Inc.",NM,5,POINT (-73.7031609 40.6537582)
12/31/2023,DGINT-12487,11/18/2022,O&R,NANUET,Rockland,10954,East,Nanuet,53-7-13,Battery,SolarCity,NM,7.6,POINT (-74.00655 41.09406)
12/31/2023,PAM-2022-281248,08/29/2023,PSEGLI,OCEANSIDE,Nassau,11572,,,2WB585,Battery,SUNation Solar Systems Inc.,NM,10,POINT (-73.63933 40.640335)
